date,"Single-Vehicle Crash","Two-Vehicle Crash","More Than Two-Vehicle Crash","Total"
12:00AM,2125,1118,239,3482
01:00AM,2331,959,233,3523
02:00AM,2682,1094,268,4044
03:00AM,1737,716,116,2569
04:00AM,1239,543,121,1903
05:00AM,1270,851,315,2436
06:00AM,1311,1184,349,2844
07:00AM,1051,1594,597,3242
08:00AM,960,1273,318,2551
09:00AM,816,1332,430,2578
10:00AM,894,1560,552,3006
11:00AM,1086,1782,653,3521
12:00PM,1267,2034,822,4123
01:00PM,1226,2127,622,3975
02:00PM,1591,2402,857,4850
03:00PM,1717,2865,1025,5607
04:00PM,1739,2779,964,5482
05:00PM,1939,2542,944,5425
06:00PM,2188,2300,1007,5495
07:00PM,2051,2029,558,4638
08:00PM,2490,2085,630,5205
09:00PM,2339,1867,733,4939
10:00PM,2232,1627,514,4373
11:00PM,2236,1398,393,4027
